Date : 2023-10-12 12:37:57
Directory : c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled
Total : 138 files,  25913 codes, 405 comments, 1591 blanks, all 27909 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |        134 |     25,700 |        363 |      1,554 |     27,617 |
| JSON with Comments |          1 |         97 |          0 |          1 |         98 |
| Python             |          1 |         81 |         30 |         31 |        142 |
| Ini                |          1 |         34 |         12 |          5 |         51 |
| Batch              |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |        138 |     25,913 |        405 |      1,591 |     27,909 |
| . (Files)                                                                                            |          2 |        131 |         12 |          6 |        149 |
| SerialScreenshot                                                                                     |          2 |         82 |         30 |         31 |        143 |
| src                                                                                                  |        134 |     25,700 |        363 |      1,554 |     27,617 |
| src (Files)                                                                                          |         12 |        926 |         30 |        168 |      1,124 |
| src\assets                                                                                           |          5 |     16,534 |          0 |         15 |     16,549 |
| src\drivers                                                                                          |         13 |      2,086 |         46 |        118 |      2,250 |
| src\enjin                                                                                            |         81 |      4,506 |        189 |        894 |      5,589 |
| src\enjin (Files)                                                                                    |         16 |        632 |         41 |        152 |        825 |
| src\enjin\Components                                                                                 |         39 |      2,211 |        115 |        455 |      2,781 |
| src\enjin\UI                                                                                         |         18 |      1,315 |         12 |        210 |      1,537 |
| src\enjin\UI (Files)                                                                                 |         16 |        994 |         12 |        203 |      1,209 |
| src\enjin\UI\assets                                                                                  |          2 |        321 |          0 |          7 |        328 |
| src\enjin\utils                                                                                      |          8 |        348 |         21 |         77 |        446 |
| src\scenes                                                                                           |         17 |      1,098 |         54 |        239 |      1,391 |
| src\utils                                                                                            |          6 |        550 |         44 |        120 |        714 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                             | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\SerialScreenshot\compile.bat                 | Batch              |          1 |          0 |          0 |          1 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\SerialScreenshot\main.py                     | Python             |         81 |         30 |         31 |        142 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\eisei_oled.code-workspace                    | JSON with Comments |         97 |          0 |          1 |         98 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\platformio.ini                               | Ini                |         34 |         12 |          5 |         51 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\Constants.cpp                            | C++                |         95 |          0 |          1 |         96 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\Constants.hpp                            | C++                |          8 |          0 |          3 |         11 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\Data.cpp                                 | C++                |         27 |          0 |          5 |         32 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\Data.hpp                                 | C++                |         56 |          0 |         10 |         66 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\Game.hpp                                 | C++                |        208 |          2 |         40 |        250 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\Hardware.cpp                             | C++                |         65 |          5 |         13 |         83 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\Hardware.hpp                             | C++                |        136 |          2 |         30 |        168 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\I2CShare.hpp                             | C++                |         98 |         13 |         17 |        128 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\InterfaceManager.hpp                     | C++                |         28 |          0 |          7 |         35 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\ObjectInstances.hpp                      | C++                |         17 |          0 |          4 |         21 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\SharedContext.hpp                        | C++                |         28 |          0 |          5 |         33 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\assets\intro.h                           | C++                |     13,161 |          0 |          0 |     13,161 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\assets\ratio.h                           | C++                |        130 |          0 |          2 |        132 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\assets\resources.cpp                     | C++                |        933 |          0 |          5 |        938 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\assets\resources.h                       | C++                |          8 |          0 |          3 |         11 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\assets\splashscreen.h                    | C++                |      2,302 |          0 |          5 |      2,307 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\drivers\Button.hpp                       | C++                |        148 |          0 |         21 |        169 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\drivers\Coordinates.cpp                  | C++                |         39 |          0 |          4 |         43 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\drivers\Coordinates.h                    | C++                |         30 |          1 |          2 |         33 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\drivers\Touchwheel.hpp                   | C++                |        155 |         26 |         29 |        210 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\drivers\drivers.hpp                      | C++                |          8 |          0 |          3 |         11 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\drivers\font16x16.h                      | C++                |        130 |          0 |          1 |        131 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\drivers\font16x32.h                      | C++                |        130 |          0 |          1 |        131 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\drivers\font8x8_basic.h                  | C++                |        133 |          0 |          2 |        135 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\drivers\led.cpp                          | C++                |         89 |          0 |         12 |        101 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\drivers\led.h                            | C++                |         38 |          5 |         16 |         59 |
| c:\Users\ceste\Documents\PlatformIO\Projects\eisei_oled\src\drivers\led_LUT.h                        | C++                |      1,029 |          0 |          1 |      1,030 |
